,start_date,end_date,begin_date,finish_date,duration
1044,10/16/2011 2:13,10/16/2011 21:08,2011-10-16 02:13:00,2011-10-16 21:08:00,0 days 18:55:00.000000000
1045,4/22/2013 14:30,4/23/2013 9:25,2013-04-22 14:30:00,2013-04-23 09:25:00,0 days 18:55:00.000000000
1062,11/15/2011 5:12,11/16/2011 0:01,2011-11-15 05:12:00,2011-11-16 00:01:00,0 days 18:49:00.000000000
1072,8/23/2011 13:23,8/24/2011 8:07,2011-08-23 13:23:00,2011-08-24 08:07:00,0 days 18:44:00.000000000
1083,5/23/2013 19:05,5/24/2013 13:43,2013-05-23 19:05:00,2013-05-24 13:43:00,0 days 18:38:00.000000000
1087,8/18/2011 17:50,8/19/2011 12:26,2011-08-18 17:50:00,2011-08-19 12:26:00,0 days 18:36:00.000000000
1093,3/23/2012 16:46,3/24/2012 11:17,2012-03-23 16:46:00,2012-03-24 11:17:00,0 days 18:31:00.000000000
1098,8/29/2012 19:32,8/30/2012 14:02,2012-08-29 19:32:00,2012-08-30 14:02:00,0 days 18:30:00.000000000
1105,9/19/2012 21:51,9/20/2012 16:16,2012-09-19 21:51:00,2012-09-20 16:16:00,0 days 18:25:00.000000000
1111,6/23/2012 6:48,6/24/2012 1:10,2012-06-23 06:48:00,2012-06-24 01:10:00,0 days 18:22:00.000000000
1112,5/21/2012 1:36,5/21/2012 19:57,2012-05-21 01:36:00,2012-05-21 19:57:00,0 days 18:21:00.000000000
1121,4/17/2012 20:05,4/18/2012 14:18,2012-04-17 20:05:00,2012-04-18 14:18:00,0 days 18:13:00.000000000
1123,4/20/2013 17:22,4/21/2013 11:33,2013-04-20 17:22:00,2013-04-21 11:33:00,0 days 18:11:00.000000000
1144,10/3/2011 20:05,10/4/2011 14:01,2011-10-03 20:05:00,2011-10-04 14:01:00,0 days 17:56:00.000000000
1158,10/24/2011 18:17,10/25/2011 12:05,2011-10-24 18:17:00,2011-10-25 12:05:00,0 days 17:48:00.000000000
1161,4/22/2013 19:30,4/23/2013 13:17,2013-04-22 19:30:00,2013-04-23 13:17:00,0 days 17:47:00.000000000
1169,11/15/2012 13:38,11/16/2012 7:21,2012-11-15 13:38:00,2012-11-16 07:21:00,0 days 17:43:00.000000000
1175,9/3/2011 16:04,9/4/2011 9:45,2011-09-03 16:04:00,2011-09-04 09:45:00,0 days 17:41:00.000000000
1176,5/31/2013 19:55,6/1/2013 13:34,2013-05-31 19:55:00,2013-06-01 13:34:00,0 days 17:39:00.000000000
1189,8/28/2012 17:42,8/29/2012 11:10,2012-08-28 17:42:00,2012-08-29 11:10:00,0 days 17:28:00.000000000
1192,4/25/2013 22:00,4/26/2013 15:26,2013-04-25 22:00:00,2013-04-26 15:26:00,0 days 17:26:00.000000000
1193,7/20/2013 18:12,7/21/2013 11:38,2013-07-20 18:12:00,2013-07-21 11:38:00,0 days 17:26:00.000000000
1205,11/8/2011 19:26,11/9/2011 12:43,2011-11-08 19:26:00,2011-11-09 12:43:00,0 days 17:17:00.000000000
